ID,Custom label 0,title,description,price,link,image_link,Brand,availability,Condition
V1JA3A1001,Dragees,Almonds Dragees in White Chocolate (Marbled) 250g,Almonds covered in White Chocolate (Marbled),45,https://www.vocca.co/product_detail/1pga01j003883940731_1,https://drive.google.com/file/d/19Vrqg1Vki-QjB_TOSF8UMt4ctya7Fgwl/view?usp=sharing,Vocca,in stock,new
V1JA3A1011,Dragees,Cashew Dragees in White Chocolate (Marbled) 250g,Cashew covered in White Chocolate (Marbled),40,https://www.vocca.co/product_detail/1pga01j0041693069872_1,https://drive.google.com/file/d/1AOOXqBGjYAqp1lCkQuyycKd_007oZtHt/view?usp=drive_link,Vocca,in stock,new
V1JA3A1015,Dragees,Pecan Dragees in White Chocolate (Marbled) 200g,Pecan covered in White Chocolate (Marbled),55,https://www.vocca.co/product_detail/1pga01j0051447758608_1,https://drive.google.com/file/d/1GcU7s46CT1hAq02gGCOUtFd3jt4JCn8l/view?usp=drive_link,Vocca,in stock,new
V1JA2A1020,Dragees,Raisins Dragees in Dark Chocolate 300g,Raisins covered in Dark Chocolate,42,https://www.vocca.co/product_detail/1pga01j00626442382,https://drive.google.com/file/d/1j_1tWY4tJJ-FTLx_vDzuwslEQ0BSlvBX/view?usp=drive_link,Vocca,in stock,new
V1JA1A1030,Dragees,Coffee Beans (Roasted) Dragees in Milk Chocolate 250g,Coffee Beans (Roasted) covered in Milk Chocolate,55,https://www.vocca.co/product_detail/1pga01j0072112990197_1,https://drive.google.com/file/d/1FEt7UTu6yVa6S5hw1DMg4dEjZZV1us_R/view?usp=drive_link,Vocca,in stock,new
V1JA1A1040,Dragees,Hazelnuts Dragees in Milk Chocolate 250g,Hazelnuts covered in Milk Chocolate,47,https://www.vocca.co/product_detail/1pga01j0082037307687_1,https://drive.google.com/file/d/1yMpQCRWNNLPJ0fK3OtqtGfQJBMeFu9Ng/view?usp=drive_link,Vocca,in stock,new
V1JA1A1042,Dragees,Hazelnuts with Cocoa Dust Dragees in Milk Chocolate 250g,Hazelnuts with Cocoa Dust covered in Milk Chocolate,50,https://www.vocca.co/product_detail/1pga01j0091029284317_1,https://drive.google.com/file/d/1EmpTE3E0epJvgfEaYdxh0wAdiOX_ALMH/view?usp=drive_link,Vocca,in stock,new
V1KA1A1050,Rochers,Almonds (Slivered) Rochers in Milk Chocolate 175g,Almonds (Slivered) covered in Milk Chocolate,55,https://www.vocca.co/product_detail/1pga01k010947569229_11,https://drive.google.com/file/d/1wcpGJ9I6b2wM987I4h9tOftJFSAXr3rq/view?usp=drive_link,Vocca,in stock,new
V1KA2A1054,Rochers,Almonds (Slivered) Rochers in Dark Chocolate 175g,Almonds (Slivered) covered in Dark Chocolate,55,https://www.vocca.co/product_detail/1pga01k0121513859489_1,https://drive.google.com/file/d/1-MUrOgSUJ5aq3CK0o4nt3yNUhCxmd75u/view?usp=drive_link,Vocca,in stock,new
V1AA5A1001,Chocolates,Ivory Collection Assorted Pralines Small,Ivory Small : Chocolate Plain (White) Chocolate Plain (Dark) Chocolate Plain (Milk),40,https://www.vocca.co/product_detail/ivory_collection_assorted_pralines_small,https://drive.google.com/file/d/1C9knKhI1a9fgGFrjBrkP5GHXrT9XjK8f/view?usp=drive_link,Vocca,in stock,new
V1AA5A1002,Chocolates,Ivory Collection Assorted Pralines Medium,Ivory Medium : Almond Praline (Milk) Feuilletine Praline (Milk) Mixed Nuts Praline (White) Pistachio Praline (Milk),75,https://www.vocca.co/product_detail/ivory_collection_assorted_pralines_medium,https://drive.google.com/file/d/1Du1idRIxB962dTDL3MI7fre4ccNiRmlV/view?usp=drive_link,Vocca,in stock,new
V1AA5A1003,Chocolates,Ivory Collection Assorted Pralines Large,Ivory Large : Coconut Praline (White) Coffee Praline (Dark) Feuilletine Praline (Milk) Hazelnut Cream with Nuts Praline (Milk) Mixed Nuts Praline (White) Strawberry Cheesecake Praline (Dark),110,https://www.vocca.co/product_detail/ivory_collection_assorted_pralines_large,https://drive.google.com/file/d/1LB5fijp4V87_xKTKyDwBAH0WTPDAGH55/view?usp=drive_link,Vocca,in stock,new
V1AA5A1010,Chocolates,Signature Collection Assorted Bonbons Red,Signature Red: Machiato Bonbon (White) Matcha Bonbon (White) Orange Bonbon (White) Salted Caramel Bonbon (White) Strawberry Cheesecake Bonbon (White),130,https://www.vocca.co/product_detail/1pga02a002111605742_3,https://drive.google.com/file/d/1T-ySuE7FWi5sfgsZuUw2ZqxHoM0_oSsh/view?usp=drive_link,Vocca,in stock,new
V1AA5A1012,Chocolates,Signature Collection Assorted Chocolates Gold,Signature Gold: Cocoa Coated Praline (Milk) Coffee Praline (Dark) Ganache Praline (Dark) Mandarin Praline (Dark) Strawberry Cheesecake Bonbon (White),130,https://www.vocca.co/product_detail/1pga02a002111605742_2,https://drive.google.com/file/d/1T-ySuE7FWi5sfgsZuUw2ZqxHoM0_oSsh/view?usp=drive_link,Vocca,in stock,new
V1AA5A1011,Chocolates,Signature Collection Assorted Pralines Silver,Signature Silver: Coconut Praline (White) Ganache Praline (Milk) Nutella Feuilletine Praline (Milk) Pistachio Praline (Milk) Raspberry Praline (Dark),110,https://www.vocca.co/product_detail/1pga02a002111605742_3,https://drive.google.com/file/d/1T-ySuE7FWi5sfgsZuUw2ZqxHoM0_oSsh/view?usp=drive_link,Vocca,in stock,new
V1AA5A1008,Chocolates,Royale Collection Assorted Pralines Gold,Royale Gold: Coffee Praline (Dark) Dulche Lotus Cream & Biscuit Praline (Dulche) Mixed Nuts Praline (Milk) Pistachio Praline (Milk) Rahash Praline (Dark) Zaffran Praline (Milk),140,https://www.vocca.co/product_detail/1pga02a0031978664852,https://drive.google.com/file/d/1258T89HLJrBecfPXMhpBT5q6apLoSV0k/view?usp=drive_link,Vocca,in stock,new
V1CB5A1016,Dates,Nakheel Collection Assorted Dates Medium Green,Nakheel Medium Green: Coconut & Cream Filled Dates Orange Stuffed Dates Pistachio & Cream Filled Dates Rose & Cream Filled Dates,130,https://www.vocca.co/product_detail/1pga02c004983281806_11,https://drive.google.com/file/d/1rUot7yvtvb5Vo3jkbIcopvtWtBnIDZky/view?usp=drive_link,Vocca,in stock,new
V1CB3A1018,Dates,Nakheel Collection Coated Dates Medium Red,Nakheel Medium Red: Cocoa Coated Dates (Dark) Feuillitine Coated Dates (Milk) Pistachio Coated Dates (Milk) Rahash Coated Dates (Milk),130,https://www.vocca.co/product_detail/1pga02c004983281806_113,https://drive.google.com/file/d/1OG35HOhr5ss_-UOKspT5iE2qxzlEYBir/view?usp=drive_link,Vocca,in stock,new
V1AA5A1130,Chocolates,Legacy Collection Assorted Chocolates Small Brown,Legacy Small : Cocoa Coated Truffle (Dark) Coffee Praline (Dark) Dulche Lotus Cream & Biscuit Praline (Dulche) Nutella Feuilletine Truffle (Milk) Pistachio Truffle (Milk),200,https://www.vocca.co/product_detail/1pga02a006772700401_1,https://drive.google.com/file/d/1P_oWxSEH-Tac9kCWzm6GueCzbwi1pRky/view?usp=drive_link,Vocca,in stock,new
V1AA5A1134,Chocolates,Legacy Collection Assorted Chocolates Medium Brown,Legacy Medium : Cocoa Coated Truffle (Dark) Coffee Praline (Dark) Dulche Lotus Cream & Biscuit Praline (Dulche) Feuilletine Praline (Milk) Ganache Truffle (Milk),300,https://www.vocca.co/product_detail/1pga02a006772700401_2,https://drive.google.com/file/d/1KbfPQMtiro5HeAKkDM15va-ooiGFlZNM/view?usp=drive_link,Vocca,in stock,new
V1AA5A1138,Chocolates,Legacy Collection Assorted Chocolates Large Brown,Legacy Large : Coconut Praline (White) Salted Caramel Praline (Dark) Dulche Lotus Cream & Biscuit Praline (Dulche) Ganache Truffle (Dark) Pistachio Truffle (Milk) Raspberry Truffle (Dark) Wafer Praline (Milk),425,https://www.vocca.co/product_detail/1pga02a006772700401,https://drive.google.com/file/d/1kpomjryy20zZk7CCJwWLYN9rEH3ACVYN/view?usp=drive_link,Vocca,in stock,new
V1AA5A1151,Chocolates,Diamond Collection Assorted Bonbons Small,Diamond Small : Matcha Bonbon (White) Orange Bonbon (White) Salted Caramel Bonbon (White),70,https://www.vocca.co/product_detail/1pga02c008401031913_1,https://drive.google.com/file/d/1mIqkvr0qZKUkczm8BKZsPoNO5EfHVUPv/view?usp=drive_link,Vocca,in stock,new
